1,1,1
2,2,2
3,3,3
4,4,4
5,5,4
6,6,5
7,7,5
8,8,3
9,9,5
10,10,6
11,11,7
12,12,7
13,13,8
14,14,6
15,15,2
16,16,9
17,17,6
18,18,4
19,19,4
20,20,7
21,21,5
22,22,5
23,23,6
24,24,6
25,25,7
26,26,7
27,27,6
28,28,6
29,29,7
30,30,8
31,31,7
32,32,8
33,33,9
34,34,7
35,35,6
36,36,6
37,37,7
38,38,7
39,39,9
40,40,8
41,41,9
42,42,10
43,43,10
44,44,9
45,45,7
46,46,9
47,47,8
48,48,10
49,49,8
50,50,8
51,51,3
52,52,10
53,53,10
54,54,10
55,55,9
56,56,7
57,57,3
58,58,8
59,59,9
60,60,7
61,61,8
62,62,11
63,63,7
64,64,7
65,65,8
66,66,9
67,67,8
68,68,8
69,69,6
70,70,9
71,71,11
72,72,9
73,73,10
74,74,8
75,75,9
76,76,8
77,77,8
78,78,10
79,79,7
80,80,8
81,81,11
82,82,8
83,83,8
84,84,8
85,85,10
86,86,10
87,87,10
88,88,11
89,89,10
90,90,8
91,91,10
92,92,9
93,93,8
94,94,9
95,95,11
96,96,11
97,97,9
98,98,9
99,99,11
100,100,9
101,101,12
102,102,9
103,103,11
104,104,9
105,105,10
106,106,9
107,107,9
108,108,8
109,109,7
110,110,9
111,111,10
112,112,12
113,113,10
114,114,11
115,115,11
116,116,12
117,117,11
118,118,8
119,119,11
120,120,5
121,121,12
122,122,9
123,123,11
124,124,4
125,125,10
126,126,5
127,127,9
128,128,11
129,129,5
130,130,11
131,131,11
132,132,5
133,133,11
134,134,9
135,135,11
136,136,9
137,137,8
138,138,6
139,139,12
140,140,6
141,141,11
142,142,9
143,143,13
144,144,10
145,145,12
146,146,14
147,147,11
148,148,9
149,149,11
150,150,8
151,151,7
152,152,10
153,153,11
154,154,10
155,155,9
156,156,5
157,157,12
158,158,11
159,159,8
160,160,12
161,161,12
162,162,11
163,163,10
164,164,12
165,165,10
166,166,9
167,167,10
168,168,10
169,169,12
170,170,10
171,171,11
172,172,13
173,173,10
174,174,11
175,175,10
176,176,11
177,177,12
178,178,13
179,179,11
180,180,9
181,181,10
182,182,12
183,183,13
184,184,7
185,185,13
186,186,8
187,187,9
188,188,11
189,189,10
190,190,10
191,191,10
192,192,11
193,193,12
194,194,11
195,195,7
196,196,8
197,197,12
198,198,13
199,199,12
200,200,12
201,201,15
202,202,8
203,203,14
204,204,11
205,205,8
206,206,13
207,207,12
208,208,10
209,209,10
210,210,10
211,211,12
212,212,13
213,213,12
214,214,6
215,215,9
216,216,12
217,217,12
218,218,8
219,219,12
220,220,13
221,221,12
222,222,10
223,223,13
224,224,11
225,225,12
226,226,14
227,227,10
228,228,12
229,229,13
230,230,12
231,231,4
232,232,13
233,233,15
234,234,14
235,235,10
236,236,11
237,237,10
238,238,11
239,239,13
240,240,11
241,241,11
242,242,12
243,243,11
244,244,10
245,245,11
246,246,8
247,247,11
248,248,9
249,249,11
250,250,9
251,251,12
252,252,10
253,253,12
254,254,14
255,255,11
256,256,11
257,257,9
258,258,15
259,259,11
260,260,12
261,261,10
262,262,11
263,263,13
264,264,13
265,265,13
266,266,11
267,267,10
268,268,12
269,269,10
270,270,11
271,271,9
272,272,6
273,273,12
274,274,8
275,275,14
276,276,11
277,277,6
278,278,7
279,279,13
280,280,9
281,281,9
282,282,12
283,283,14
284,284,11
285,285,7
286,286,12
287,287,13
288,288,13
289,289,15
290,290,12
291,291,15
292,292,11
293,293,10
294,294,10
295,295,12
296,296,12
297,297,10
298,298,12
299,299,13
300,300,13
301,301,8
302,302,11
303,303,13
304,304,12
305,305,7
306,306,14
307,307,12
308,308,13
309,309,12
310,310,10
311,311,10
312,312,9
313,313,13
314,314,13
315,315,9
316,316,13
317,317,14
318,318,13
319,319,13
320,320,12
321,321,9
322,322,12
323,323,14
324,324,12
325,325,9
326,326,11
327,327,9
328,328,13
329,329,9
330,330,9
331,331,14
332,332,11
333,333,4
334,334,9
335,335,6
336,336,14
337,337,10
338,338,13
339,339,14
340,340,11
341,341,14
342,342,11
343,343,8
344,344,13
345,345,7
346,346,10
347,347,13
348,348,12
349,349,11
350,350,11
351,351,9
352,352,8
353,353,12
354,354,14
355,355,14
356,356,11
357,357,10
358,358,12
359,359,12
360,360,16
361,361,10
362,362,13
363,363,13
364,364,12
365,365,13
366,366,12
367,367,14
368,368,17
369,369,9
370,370,11
371,371,14
372,372,7
373,373,10
374,374,12
375,375,13
376,376,12
377,377,13
378,378,9
379,379,6
380,380,11
381,381,13
382,382,8
383,383,13
384,384,13
385,385,12
386,386,14
387,387,13
388,388,7
389,389,12
390,390,12
391,391,10
392,392,8
393,393,10
394,394,16
395,395,15
396,396,10
397,397,10
398,398,13
399,399,15
400,400,11
401,401,9
402,402,12
403,403,14
404,404,10
405,405,13
406,406,11
407,407,11
408,408,10
409,409,11
410,410,7
411,411,15
412,412,8
413,413,14
414,414,10
415,415,13
416,416,12
417,417,13
418,418,13
419,419,10
420,420,12
421,421,15
